Layer,Station Name,Address,City,State,Zip,County,Service Type,Status,Test Center ID / Station ID,Dealer # / DNR License,Phone,Email,Contact Name,Signed Contract (Y/N),Date of Install,Comments
Current Stations,Firestone - Fairfield,750 Kings Highway,Fairfield,CT,06430,Fairfield,OBD Plus,,ST0002133,,(203) 916-6319,robertsjennifer@bfusa.com,Joseph McNary - Sta Mgr,Y,,"7/10/21 - thinking about moving bay so we did not put up a camera there. Asked station to let us know by August so we can install camera | 8/4/21 - Have started the approval process with Applus, has yet to contact the DMV  8/18/21 - Gage to visit Friday 8/19  to ensure the new location is ok - no lift in bay and monitor is functional  8/20/21 - new report card submitted | 8/17/21 - DMV advised via email - we gave a preliminary approval but did not want to give a final answer until they contacted Opus | Updated Staffing Plan: 2/5/2026 | Bay Door: 9' | Unit #: CT2100225 | Secondary Email: szimmerman@bfrc.com"
Current Stations,Fairfield Tire and Auto Center LLC,1370 Kings Hwy Cut-off,Fairfield,CT,06824,Fairfield,OBD Plus,,ST0002141,,(203) 255-5931,fairfieldtireandauto@gmail.com,Adam Docimo - Facility Mgr,Y,,Updated Staffing Plan: 3/24/2026 | Bay Door: 9' | Unit #: CT2100132
Current Stations,Meineke - Fairfield,94 Kings Highway East,Fairfield,CT,06825,Fairfield,OBD Plus,,ST0002149,R4923,(203) 864-6082,fairfieldmeineke@gmail.com,Ross Hiltz,Y,,"small lot filled with cars, limited parking | Updated Staffing Plan: 2/4/2026 | Bay Door: 10' | Unit #: CT2100224"
Current Stations,Cos Central Auto,1652 North Broad Street,Meriden,CT,06450,New Haven,Full Service,,ST0002233,,(860) 388-0075,coscentralauto@yahoo.com,Christopher Lippitt,Y,,Updated Staffing Plan: 3/10/2026 | Unit #: CT2100025 | Secondary Email: cwill26131@aol.com
Current Stations,Computer Tune and Lube Inc,966 Washington Street,Middletown,CT,06457,Middlesex,OBD Plus,,ST0002358,,(860) 346-1999,dan@qtrg.com,Daniel Glyck - Mgr,Y,,Unit #: CT2100095 | Secondary Email: tunelube85@sbcglobal.net
Current Stations,JAS Muffler Inc dba Midas Auto Service and Tires - Middletown,380 Washington Street,Middletown,CT,06457,Middlesex,OBD Plus,,ST0002365,,(860) 347-9100,middmidas@gmail.com,Ted Theriault - Sta Mgr,Y,,"5/15/24 - provided updated station information | Updated Staffing Plan: 3/31/2026 | Bay Door: 9' 6"" | Unit #: CT2100099"
Current Stations,Personal Auto Care Service Center Inc,60 Dekoven Drive,Middletown,CT,06457,Middlesex,Full Service,,ST0002373,,(860) 347-9845,per60@aol.com,Joe kleczkowski (father)Andrew Kleczkowski (son),Y,,"5/15/24 - provided updated station information | Updated Staffing Plan: 2/4/2026 | Bay Door: 9' 10"" but no vehicles over 9' | Unit #: CT2100059 | Secondary Email: andy796@aol.com"
Current Stations,Roberts Service Center Inc,216 Buckingham Avenue,Milford,CT,06460,New Haven,OBD Plus,,ST0002419,,(203) 878-4746,s.depalma@comcast.net,Steven DePalma - Sta Mgr,Y,,double bay with lift | Unit #: CT2100002 | Secondary Email: robertsservicecenter@gmail.com
Current Stations,Meineke - Milford,70 Bridgeport Ave,Milford,CT,06460,New Haven,OBD Plus,,ST0002467,,(203) 878-3579,meinekemilford@gmail.com,Dan Armstrong - Sta Mgr,Y,,"Updated Staffing Plan: 3/12/2026 | Bay Door: 9' 6"" | Unit #: CT2100171"
Current Stations,J P Automotive LLC,25 Stiles Lane,North Haven,CT,06473,New Haven,OBD Plus,,ST0002540,,(203) 287-0771,john@jpautollc.com,Mike Steinfeld - Sta Mgr  John or Paul Magliochetti - owners,Y,,"Have received complaints from other stations they pick and choose which cars they test and/or refer to another site 3/25/21 - not happy with Applus | 6/16/21 - per DD customer wants to move his bay so camera was not installed                                                                                                          8/4/21- Customer has received approval from Applus and the DMV to relocate | Updated Staffing Plan: 3/10/2026 | Bay Door: 9' 6"" | Unit #: CT2100158"
Current Stations,Bens Service Center,115 Boston Post Road,Orange,CT,06477,New Haven,Full Service,,ST0002593,U9241,(203) 795-9324,ambsc115@gmail.com,John Moore - Mgr              Andrea Santamauro - owner,Y,,10/7/2025 - new DNR issued to wife  2/16/26 - sale postponed | Unit #: CT2100122
Current Stations,AJs Center Service Inc,851 River Road,Shelton,CT,06484,Fairfield,OBD Plus,,ST0002672,,(203) 929-1311,ajcsinc@sbcglobal.net,Adriano Monaco - owner,Y,,"10/25/23 - Adriano advised 2nd unit approved, will invoice and call to make arrangements for delivery & set up | 11/21/23 - Jack to contact regarding delivery and set up of 2nd unit (refurb) | Bay Door: 9' 1"" x 9.5' wide | Unit #: CT2100201"
Current Stations,Mad Hatter Muffler,176 Queen Street,Southington,CT,06489,Hartford,OBD Plus,,ST0002740,,(860) 628-8888,madhatauto@gmail.com,Jefferey Mayo,Y,,Bay Door: 10' | Unit #: CT2100077
Current Stations,Frenchys Auto Repair Inc,508 Main Street,Wallingford,CT,06492,New Haven,Full Service,,"ST0002822 - inactive, only 1 inspector",,(203) 265-0889,frenchysautorepair.rj@gmail.com,Patrick Bushey,Y,,"wait area very small, restroom could be cleaner | Updated Staffing Plan: 6/18/2026 | Unit #: CT2100069"
Current Stations,Nelsons Automotive Service Center LLC,40D North Plains Industrial RD,Wallingford,CT,06492,New Haven,OBD Plus,,ST0002830,,(203) 265-3997,nelsons@carbuddys.com,Pete Nelson - owner,Y,,Updated Staffing Plan: 2/4/2026 | Unit #: CT2100055 | Secondary Email: petesr@carbuddys.com
Current Stations,Broadbridge Auto Service Inc,2607 Broadbridge Avenue,Stratford,CT,06497,Fairfield,OBD Plus,,ST0002880,,(203) 249-2229  (do not give out),vwfusco@yahoo.com,Vincent Fusco - owner,Y,,"seating not socially distant, lift in bay (no arms), station needs to be cleaner and more organized | Updated Staffing Plan: 4/10/2026 | Unit #: CT2100121"
Current Stations,Midas Auto Service and Tires - Westbrook,55 Boston Post Road,Westbrook,CT,06498,Middlesex,OBD Plus,,ST0002915,,(860) 669-9937,westbrookmidas@gmail.com,Anthony Bianca,Y - under served,,Updated Staffing Plan: 3/23/2026 | Bay Door: 12' | Unit #: CT2100192 | Secondary Email: jdziegielewski@comcast.net
Current Stations,Meineke Car Care Center #122,1175 Whalley Avenue,New Haven,CT,06515,New Haven,OBD Plus,,ST0002919,,(203) 397-2353,meinekenewhaven@gmail.com,Patrick - Sta Mgr,Y,,limited parking | Updated Staffing Plan: 3/11/2026 | Unit #: CT2100163
Current Stations,Swanson Automotive,434 Short Beach Road,East Haven,CT,06512,New Haven,OBD Plus,,"ST0002964 - 5/14/26 - advised of sale of business mid-June, new owners need DNR",,(203) 469-0593,Swansonautomotive434@gmail.com,Kirt Swanson - owner,Y,,Updated Staffing Plan: 2/5/2026 | Bay Door: 12' | Unit #: CT2100181 | Secondary Email: kirtswanson1975@gmail.com
Current Stations,Chuck's Garage,52 Hood Terrace,West Haven,CT,06516,New Haven,OBD Plus,,ST0003107,,(203) 932-4336,chuckzlm8@aol.com,Chuck,Y,,3/26/21 - no public restroom | Updated Staffing Plan: 3/10/2026 | Bay Door: 14' | Unit #: CT2100177
Current Stations,E and S Automotive Operations LLC,425 Boston Ave,Bridgeport,CT,06610,Fairfield,OBD Plus,,ST0003432,,(203) 367-6006 owners cell (203) 993-4590,harrygil2848@gmail.com,Harbhajan Gill - owner,Y,,"lot a mess, only 2 park signs, trash and parts on ground  3/30/21 - no marked pkg for emissions, owns 2 stations next to each other, not doing inspections at this site today | 5/24/24 - provided updated sta info | Bay Door: 10' 4"" | Unit #: CT2100116 | Secondary Email: hsgill2848@gmail.com"
Current Stations,Monro Muffler Brake - this is not a corporate location,451 Main Street,Monroe,CT,06468,Fairfield,Full Service,,ST0003437,,(203) 261-6335,jvig74@yahoo.com,James Vig,Y,,Updated Staffing Plan: 2/4/2026 | Bay Door: 12' | Unit #: CT2100216 | Secondary Email: jvig2121@yahoo.com
Current Stations,Knechts Garage Inc,101 Monroe Turnpike,Trumbull,CT,06611,Fairfield,OBD Plus,,ST0003458,,(203) 268-6284,knechtsgarage@gmail.com,Donald Knecht - Owner/Mgr,Y,,5/19/24 - provided updated sta info | Bay Door: 12' | Unit #: CT2100223 | Secondary Email: knechtsgarage1@gmail.com
Current Stations,Firestone - Bridgeport,300 John Street,Bridgeport,CT,06604,Fairfield,OBD Plus,,ST0003475,,(203) 333-6188,robertsjennifer@bfusa.com,Ryan Gless - Sta Mgr,Y,,monitor is away from wait area - 6/15 - they have moved their monitor back to the waiting area and are in compliance with the contract | Updated Staffing Plan: 3/25/2026 | Unit #: CT2100226 | Secondary Email: szimmerman@bfrc.com
Current Stations,Breezy Point Auto Repairs Inc,609 Main Street,Stratford,CT,06615,Fairfield,OBD Plus,,ST0003483,,(203) 377-8601,breezypointauto@optonline.net,Gary Koripsky,Y,,Updated Staffing Plan: 2/4/2026 | Bay Door: 10' | Unit #: CT2100200
Current Stations,Model Garage Inc,110 Thomaston Avenue,Waterbury,CT,06702,New Haven,OBD Plus,,ST0003498,,(203) 574-1882,modelgarageinc@gmail.com,"David Jesensky - Sta Mgr, Kyle",Y,,"a little messy, exterior | Updated Staffing Plan: 2/4/2026 | Bay Door: 9' | Unit #: CT2100049"
Current Stations,Mezzio Auto Care,792 New Haven RD,Naugatuck,CT,06770,New Haven,OBD Plus,,ST0003767,,(203) 729-5988,mario.c@mezzioauto.com,Mario Cipriano - Sta Mgr,Y,,"site is close to street, waiting room is dirty, 5 miles to another test site | 6/29 - per DD - they have 20 foot ceilings and the ladder we  have is an old wooden one and was not stable.  we may need to find a ladder big enough to finish the camera installation   8/16 - cust wants to move their test bay.  Gage went out to site and took pics of the location.  forwarding to DMV for approval | Updated Staffing Plan: 2/5/2026 | Bay Door: 11' 6"" | Unit #: CT2100215 | Secondary Email: elincolnlewis@gmail.com"
Current Stations,Quiet Zone of Thomaston,100 South Main Street,Thomaston,CT,06787,Litchfield,OBD Plus / CERF,,ST0003876,,(860) 283-3005,qzthomaston@gmail.com,Brian Stewart - Mgr,Y - under served,,"Updated Staffing Plan: 7/13/2026 | Bay Door: 8' 8"" | Unit #: CT2100016 | Secondary Email: howiefish@mac.com"
Current Stations,Quiet Zone of Watertown,789 Main Street,Watertown,CT,06795,Litchfield,OBD Plus,,ST0003976,,(860) 945-6000,qzwatertown@gmail.com,"Frank Campagna, Jr",Y,,Updated Staffing Plan: 6/8/2026 | Bay Door: 9' | Unit #: CT2100220 | Secondary Email: howiefish@mac.com
Current Stations,Valenti Motors Inc,600 Straits Turnpike,Watertown,CT,06795,Litchfield,OBD Plus,,ST0003988,,(860) 274-8846,douellette@valentiauto.com,Daniel Ouellette,Y,,Updated Staffing Plan: 3/25/2026 | Unit #: CT2100131 | Secondary Email: lthibeault@valentiauto.com
Current Stations,Murray Bros Garage Inc,19 Bacon Pond Road,Woodbury,CT,06798,Litchfield,OBD Plus,,ST0003997,,(203) 263-4779,murraybrothersgarage@gmail.com,Samuel Whiteley,Y - under served,,Updated Staffing Plan: 3/24/2026 | Unit #: CT2100242 | Secondary Email: mbgfixit@gmail.com
Current Stations,Belardinelli Tire Comp,7 Beach Street,Bethel,CT,06801,Fairfield,OBD Plus,,ST0004004,,(203) 748-0889,jmatthews@belardinellitire.com,Jared Matthews - Sta Mgr,Y,,5/15/24 - provided updated station information | Updated Staffing Plan: 2/4/2026 | Bay Door: 12' | Unit #: CT2100143 | Secondary Email: accounting@belardinellitire.com
Current Stations,Firestone - Brookfield,164 Federal Road,Brookfield,CT,06804,Fairfield,OBD Plus,,ST0004016,,(203) 775-1295 or  corp office (860) 613-2901,robertsjennifer@bfusa.com,Marc Veillette - Sta Mgr,Y,,Bay Door: 9' | Unit #: CT2100180 | Secondary Email: szimmerman@bfrc.com
Current Stations,Mohawk West Tire And Auto Center,31 Mill Plain Road,Danbury,CT,06811,Fairfield,OBD Plus,,ST0004065,,(203) 744-1835,mohawktireauto@aol.com,Al Tacca - Sta Mgr,Y,,5/15/24 - provided updated station information | Updated Staffing Plan: 2/6/2026 | Bay Door: 12' | Unit #: CT2100191 | Secondary Email: altacca2aol.com
Current Stations,E M Auto Repair LLC,46 Maple Ave,Danbury,CT,06810,Fairfield,OBD Plus,,ST0004105,,(203) 790-5734 or (203) 948-7826,em1967@hotmail.com,Cruz Matos - Sta Mgr Enrique Matos - owner,Y,,"waiting room and bathroom need to be cleaned | Oct '23 - inquired about a 2nd unit, needs approval | limited parking, abandoned cars everywhere, wait room and bathroom are not clean | Updated Staffing Plan: 2/26/2026 | Unit #: CT2100175"
Current Stations,A C Auto Body and Mechanical Svc Inc,182 Main Street,New Canaan,CT,06840,Fairfield,OBD Plus,,ST0004243,,(203) 966-1818,acauto3@aol.com,Anthony Ceraso,Y,,limited parking | Updated Staffing Plan: 2/5/2026 | Unit #: CT2100241
Current Stations,New Canaan Ave Service,87 New Canaan Avenue,Norwalk,CT,06850,Fairfield,OBD Plus,,ST0004257,,(203) 846-0777,newcanaanave87@aol.com,Obaid Rehman - Sta Mgr,Y,,"5/16/24 - provided updated sta information | Bay Door: 9' 4"" | Unit #: CT2100172"
Current Stations,The Briggs Tire Co Inc (Firestone),72 Connecticut Avenue,Norwalk,CT,06850,Fairfield,OBD Plus,,ST0004262,,(203) 838-3716,jae.magner@gmail.com,Justin Magner - owner,Y,,"small parking area, lot hard to get in/out of | Updated Staffing Plan: 2/6/2026 | Bay Door: 9' 5"" | Unit #: CT2100120"
Current Stations,Hank Mays Goodyear,470 Westport Avenue,Norwalk,CT,06851,Fairfield,Full Service,,ST0004298,,(203) 846-3277,NORWALK@HANKMAYS.COM,Jean Allrich,Y,,"Bay Door: 9' 8"" | Unit #: CT2100057 | Secondary Email: jeannemeder@hankmays.com"
Current Stations,Limestone Service Station Inc,399 Danbury Road,Ridgefield,CT,06877,Fairfield,Full Service,,ST0004377,,(203) 438-8028,limestoneservice@yahoo.com,J Giardini - owner,Y,,"advised we will allow him to relocate the unit to the other bay  8/4 - Customer has received approval from Applus and the DMV to relocate | parking lo filled with cars, very little customer parking, test bay has items being stored in it, double bay w/lift | Unit #: CT2100234"
Current Stations,Firestone - Stamford,892 E Main Street,Stamford,CT,06902,Fairfield,OBD Plus,,ST0004480,,(203) 327-2930,robertsjennifer@bfusa.com,Kristper Escobar - Sta Mgr,Y,,"limited parking, lot always full | Updated Staffing Plan: 3/25/2026 | Bay Door: 9' | Unit #: CT2100170 | Secondary Email: szimmerman@bfrc.com"
Current Stations,Firestone - Milford,1063 Boston Post Road,Milford,CT,06460,New Haven,OBD Plus,,ST0004628,,(203) 878-6859,robertsjennifer@bfusa.com,Brian Papp,Y,,Updated Staffing Plan: 2/4/2026 | Bay Door: 10' | Unit #: CT2100144 | Secondary Email: szimmerman@bfrc.com
Current Stations,Long Ridge Service,1095 Long Ridge Road,Stamford,CT,06903,Fairfield,OBD Plus,,ST0004696,,(203) 322-3900,1095lrs@optonline.net,Charlotte Michaud - Svc Mgr,Y,,"only 2 park signs, only 1 chair for wait room, no public restroom, monitor not visible from seated position, bay used for repairs and there was a truck on lift, parts on floor, not very friendly, does not like being in the program | Updated Staffing Plan: 3/25/2026 | Unit #: CT2100162"
